day,time,str
20151008,468,11000111011011001100
20151008,469,11010010011111001100
20151008,470,11100110011110001100
20151008,471,11110100011110001100
20151008,472,11000110011110000110
20151008,473,11000110011110010110
20151008,474,11101110001110010110
20151008,475,11101100011111010110
20151008,476,11000100011101011110
20151008,477,11100100011101011110
20151008,478,01001100011101010110
20151008,479,01101010010111010110
20151008,480,01000110010101000110
20151008,481,01001100010111000100
20151008,482,01001111000101001110
20151008,483,01011011010101011110
20151008,484,10011110011110011100
20151008,485,10000110000100011100
20151008,486,10000110010110011110
20151008,487,11101110011100011100
20151008,488,10000110011100011110
20151008,489,00000100011001011000
20151008,490,00100100011100000100
20151008,491,10001110001100001100
20151008,492,10001100001100010110
20151008,493,11001110001100010110
20151008,494,11001100001100011110
20151008,495,10101100001101010100
20151008,496,10001010011000011100
20151008,497,00001010001100011100
20151008,498,00000110011101011100
20151008,499,10000110000101011100
20151008,500,10001010010100011110
20151008,501,11001010000100011110
20151008,502,10001010001100011110
20151008,503,10001010001100011110
20151008,504,00001010000100111110
20151008,505,11001110010101111110
20151008,506,10001110000101011110
20151008,507,10101110010100011110
20151008,508,10001010010100011110
20151008,509,10001000000100111110
20151009,450,10010001111100001110
20151009,451,10000001111100001100
20151009,452,10010100001100001110
20151009,453,10010010010000001100
20151009,454,11010010001101001110
20151009,455,11000000011100000110
20151009,456,11010100011100001110
20151009,457,11000000011101011010
20151009,458,11000000011101000110
20151009,459,10100000011101000110
20151009,460,11000010011101011100
20151009,461,11000010001101011100
20151009,462,11000010001100001100
20151009,463,11010010011101001100
20151009,464,11000010011101011110
20151009,465,11000010001101001110
20151009,466,11010010001101001110
20151009,467,11010010001101011110
20151009,468,10000011001101001110
20151009,469,11010111111100001110
20151009,470,10100111011100001100
20151009,471,11100111001100000110
20151009,472,10100100101100011110
20151009,473,11100010011100001110
20151009,474,11100010101100001110
20151009,475,11000011001101001110
20151009,476,11000011001101001110
20151009,477,10100110101101011010
20151009,478,11000010100101001110
20151009,479,10000010000101001010
20151009,480,10000010001100011010
20151009,481,11000010011100001110
20151009,482,11000010001100001110
20151009,483,11000010001100001110
20151009,484,10000000001101011100
20151009,485,10000010011100011110
20151009,486,10000010011100011110
20151009,487,11000011001100001110
20151009,488,10000000001101010110
20151009,489,11000010101100000010
20151009,490,10000010000101001110
20151009,491,10000010001101001110
20151009,492,10000010001100001110
20151009,493,10010010000100001110
20151009,494,11010010001101011110
20151009,495,10110110000100000110
20151009,496,11000110011000001110
20151009,497,11000010001000011110
20151009,498,11000010001100011110
20151009,499,11000010000101000110
20151009,500,01000110000100001110
20151009,501,11000010000111001110
20151009,502,11000010000111001110
20151009,503,11000010000100001110
20151009,504,10000000000100011110
20151009,505,10000000000100011110
20151009,506,10000010000100011110
20151009,507,10000010000000010110
20151009,508,10000110000100011110
20151009,509,10000110000000011110
20151010,450,11100110101100000100
20151010,451,11100100000001000000
20151010,452,11100100001001001100
20151010,453,11100100001101001100
20151010,454,11100100000101011100
20151010,455,11000100101101001100
20151010,456,01000000110101001100
20151010,457,11100100000101001100
20151010,458,11000000001011001100
20151010,459,11000000001101011110
20151010,460,11000000011000010100
20151010,461,10000000001111011100
20151010,462,11000001010110000100
20151010,463,11001010010110010100
20151010,464,10000010000110010100
20151010,465,10000000011100010100
20151010,466,10000000101111010100
20151010,467,10100000001110000100
20151010,468,10000110111100010100
20151010,469,10000110111100011100
20151010,470,10000110001101010100
20151010,471,10100110011101010100
20151010,472,01101111001101010100
20151010,473,11000011001101010100
20151010,474,11000111001101010100
20151010,475,11000111001101010110
20151010,476,01000110001101011110
20151010,477,11100110001101001100
20151010,478,11010100000100011110
20151010,479,11010000001101001100
20151010,480,11100110001101001100
20151010,481,11100111001110001100
20151010,482,10100111101111011100
20151010,483,11100111001101001100
20151010,484,11000010001101001100
20151010,485,01100110011101011100
20151010,486,11100111001100011100
20151010,487,11100110000100011110
20151010,488,11100110000100011110
20151010,489,11100110000111011100
20151010,490,11100110010100011100
20151010,491,10000110011100011010
20151010,492,11100100000110011100
20151010,493,11000110000110011100
20151010,494,11100110011100011110
20151010,495,11000110011100011110
20151010,496,11000110010110011110
20151010,497,10001100000110011110
20151010,498,10001100000101011110
20151010,499,10110100000101011110
20151010,500,11100100000110011110
20151010,501,11000100000111011110
20151010,502,11100100000111011110
20151010,503,10000110000111011110
20151010,504,10010110110111011110
20151010,505,11000110010111011110
20151010,506,11000110010111011100
20151010,507,11000010100111011110
20151010,508,10000110010111011110
20151010,509,10000110011111011110
20151012,450,10000111011101010110
20151012,451,11000001011101011100
20151012,452,11101001011101011100
20151012,453,11001001011101011100
20151012,454,11001000011101011100
20151012,455,10000000011111001100
20151012,456,10000000011111011100
20151012,457,11000111011111011100
20151012,458,11000110011101011100
20151012,459,11001101011101011100
20151012,460,11001101011111011100
20151012,461,11011101011101011100
20151012,462,11001100011101001100
20151012,463,11001100011101011100
20151012,464,11001101011101011100
20151012,465,11001001011101011100
20151012,466,11001001010101011100
20151012,467,11001010011101011100
20151012,468,11001001010101011100
20151012,469,11001001001101011100
20151012,470,11001000010101011100
20151012,471,11001010011111011100
20151012,472,11001111011111011100
20151012,473,11001101111111001110
20151012,474,11001101111101010100
20151012,475,11101101111101010100
20151012,476,11011101111101010100
20151012,477,11011100111111010100
20151012,478,00101111110111011100
20151012,479,00101111110101011100
20151012,480,00101111010111010100
20151012,481,10101111010111010100
20151012,482,01101111010101000100
20151012,483,10001110010101011100
20151012,484,01101110010101011110
20151012,485,01001010011111011100
20151012,486,01001010011111011100
20151012,487,01101110011001011100
20151012,488,11101110011110000100
20151012,489,01101111010110000100
20151012,490,11111110011111000110
20151012,491,01111100011111011110
20151012,492,01011010010111011110
20151012,493,01101110000010011110
20151012,494,11011110011011011100
20151012,495,11011110010110011100
20151012,496,01011110010111011100
20151012,497,00101110010110011100
20151012,498,01101111010011011100
20151012,499,11101110010011011100
20151012,500,11111110010111011110
20151012,501,11111110011010011110
20151012,502,11011110010111011110
